               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054462,            0.050666,            0.046935,             0.23309,             0.41352,             0.25441,             0.13611,            0.036414,            0.030368,             0.04486,            0.070024,           0.0033307,           0.0033307
                   1,              0.0396,            0.037887,            0.041263,             0.40448,             0.50389,             0.46133,             0.23779,            0.033767,            0.027922,            0.034839,             0.03976,           0.0064001,           0.0064001
                   2,             0.03691,            0.036895,            0.028994,             0.62549,             0.55729,             0.59616,             0.35163,            0.032358,            0.030458,            0.025809,           0.0092322,           0.0092055,           0.0092055
                   3,            0.032625,            0.037393,            0.023048,             0.65143,             0.64098,             0.67972,             0.40849,            0.029278,            0.028552,            0.021112,            0.008812,            0.008812,            0.008812
                   4,            0.029206,            0.037054,             0.02029,             0.69526,             0.68325,             0.73541,             0.51215,            0.025482,            0.026848,            0.017631,            0.008812,            0.008812,            0.008812
                   5,            0.026937,            0.036173,            0.018118,             0.74402,             0.67502,             0.74599,             0.51513,            0.024457,            0.027512,            0.016915,            0.008416,            0.008416,            0.008416
                   6,            0.025166,            0.035379,            0.016687,             0.73663,              0.7192,             0.79632,             0.58151,            0.022258,            0.026196,            0.014655,             0.00802,             0.00802,             0.00802
                   7,            0.023644,            0.034411,             0.01497,             0.72169,             0.74243,             0.78815,             0.58313,            0.022025,            0.025807,            0.013582,            0.007624,            0.007624,            0.007624
                   8,            0.022718,            0.034084,            0.014144,             0.73217,             0.77219,             0.79573,             0.60007,            0.021196,            0.025482,            0.012478,            0.007228,            0.007228,            0.007228
                   9,            0.021945,            0.033632,            0.013527,              0.7712,             0.75948,             0.82913,             0.62196,            0.020693,            0.024934,            0.012459,            0.006832,            0.006832,            0.006832
                  10,            0.020953,            0.032921,            0.012484,             0.74888,             0.76824,             0.81553,             0.62958,            0.020112,            0.024644,            0.012236,            0.006436,            0.006436,            0.006436
                  11,              0.0201,            0.032574,            0.011328,             0.77974,             0.80322,             0.85148,             0.65503,            0.019608,            0.024578,           0.0097847,             0.00604,             0.00604,             0.00604
                  12,            0.019606,            0.032133,            0.010398,             0.79394,             0.79202,             0.84732,             0.66782,            0.019081,            0.023253,            0.010338,            0.005644,            0.005644,            0.005644
                  13,            0.018907,            0.031802,           0.0099605,             0.80168,             0.80683,             0.86759,             0.67444,            0.018733,            0.023713,           0.0094857,            0.005248,            0.005248,            0.005248
                  14,            0.018321,            0.031554,           0.0095401,             0.79555,             0.82091,             0.86824,             0.68978,            0.017826,            0.023531,           0.0093493,            0.004852,            0.004852,            0.004852
                  15,            0.017764,            0.031049,           0.0086288,             0.77757,             0.82079,             0.85459,             0.68627,              0.0174,             0.02317,           0.0094381,            0.004456,            0.004456,            0.004456
                  16,            0.017246,            0.030844,           0.0084772,             0.79305,             0.79811,             0.86487,             0.69735,            0.017328,            0.023402,           0.0090491,             0.00406,             0.00406,             0.00406
                  17,            0.016577,            0.030343,           0.0075354,             0.79386,             0.84215,               0.866,             0.70362,             0.01723,            0.023057,           0.0095469,            0.003664,            0.003664,            0.003664
                  18,            0.016202,            0.029914,           0.0072412,             0.79442,             0.83911,             0.87466,             0.71193,            0.016613,            0.022858,           0.0085687,            0.003268,            0.003268,            0.003268
                  19,            0.015676,            0.029612,           0.0067697,             0.79111,             0.85793,             0.87146,             0.71337,            0.016296,            0.022608,           0.0093421,            0.002872,            0.002872,            0.002872
                  20,            0.015461,            0.029396,           0.0061909,             0.82206,             0.82999,             0.87876,             0.72026,            0.016767,            0.022628,            0.008674,            0.002476,            0.002476,            0.002476
                  21,            0.014916,            0.029253,            0.005579,              0.8146,             0.83825,             0.88239,             0.72639,            0.016332,            0.022265,           0.0081388,             0.00208,             0.00208,             0.00208
                  22,            0.014536,            0.028673,            0.005217,             0.81202,             0.85177,             0.88252,             0.73273,            0.016066,            0.022013,           0.0087117,            0.001684,            0.001684,            0.001684
                  23,            0.014147,              0.0286,           0.0046037,             0.81989,             0.85925,             0.89079,             0.73704,            0.015858,            0.021867,           0.0081228,            0.001288,            0.001288,            0.001288
                  24,            0.013519,            0.028536,           0.0040718,              0.8239,             0.86396,             0.89153,             0.73981,            0.016007,            0.022098,           0.0077078,            0.000892,            0.000892,            0.000892
